"","0.05","0.1","0.15","0.2","0.25","0.3","0.35","0.4","0.45","0.5","0.55","0.6","0.65","centrality"
"MAOA",0,0,0,0,0,0,0,5,16,51,102,171,293,13.2991961301917
"EGFL6",0,0,0,1,1,2,5,18,26,36,52,64,82,13.2955161792317
"ARPC2",0,0,0,0,0,0,0,6,17,45,94,174,288,13.2800332709274
"NPM1",0,0,0,0,0,0,0,5,30,48,88,143,258,13.2704844019678
"CENPF",0,0,0,0,0,1,4,13,21,40,67,89,131,13.2690617824556
"KCNK10",0,0,0,1,2,5,7,12,21,29,46,61,81,13.2543917491517
"SNRPD2",0,0,0,0,0,0,1,3,27,55,94,138,205,13.2377232925623
"EPSTI1",0,0,0,0,0,0,0,1,21,56,115,193,322,13.2204171207937
"CYP26B1",0,0,0,0,0,0,0,2,16,59,104,191,303,13.1918066231209
"APOE",0,0,0,0,0,0,0,2,17,52,101,192,325,13.1880906218342
"F11R",0,0,0,0,0,0,0,1,23,57,102,176,315,13.1336278230559
"FABP5",0,0,0,0,0,0,0,1,10,48,128,224,374,13.0772808746409
"UTRN",0,0,0,0,0,0,0,1,20,60,100,174,304,13.0581214246978
"BIRC5",0,0,0,0,0,2,4,11,16,26,47,95,178,13.0492842983716
"GPRC5A",0,0,0,0,0,0,0,1,23,49,107,169,308,13.0467176657266
"MACC1",0,0,0,0,0,0,0,3,17,48,93,158,277,12.9992035600361
"MYOF",0,0,0,0,0,0,0,0,25,60,109,194,299,12.9781029190469
"RPS4X",0,0,0,0,0,0,1,10,35,61,73,84,108,12.9601130157486
"JUP",0,0,0,0,0,0,0,1,17,48,99,175,322,12.9144443217436
"LDHA",0,0,1,2,4,4,5,7,7,12,32,89,187,12.912653426889
"BUB1B",0,0,0,0,0,1,3,7,16,43,69,96,122,12.9013834202376
"SPATA13",0,0,0,0,0,0,2,6,14,30,69,141,210,12.8873709578419
"PAX6",0,0,0,0,1,3,8,15,19,31,43,54,79,12.8822081912713
"SCUBE3",0,0,0,0,0,0,0,1,18,46,98,168,304,12.8507880150266
"EFEMP1",0,0,0,0,0,0,0,0,14,54,115,201,342,12.8162491973193
"NID1",0,0,0,0,0,0,0,1,17,50,94,159,299,12.8010341676865
"TPI1",0,0,0,2,2,3,5,6,7,15,37,93,196,12.7985184478556
"PTPRF",0,0,0,0,0,0,0,1,19,51,93,159,269,12.7838509473517
"CRABP2",0,0,0,0,0,0,0,1,17,52,88,168,277,12.7677150762587
"ITGA8",0,0,0,0,0,0,0,4,13,38,89,157,247,12.7593128098704
